blurry,low_contrast,brightness,clearness_score,contrast_score,filepath,v0,v1,v2,v3,v4,weather,scene,timeofday
True,False,99.81980261041345,3.915141974268273,0.4685866666666667,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1c66a42-6f7d68ca.jpg,True,True,True,True,True,overcast,city street,daytime
True,False,18.17792371744704,3.5819045103141858,0.2730790196078461,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1cd1e94-26dd524f.jpg,True,False,False,False,False,clear,city street,night
True,False,48.80810538998109,2.752509628268609,0.3306950980392157,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1ceb32e-3f481b43.jpg,False,False,False,False,False,clear,city street,night
False,False,83.68779849724699,35.6153910442305,0.4874094117647058,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1ceb32e-51852abe.jpg,False,False,False,False,False,clear,city street,dawn/dusk
False,False,97.87942923593002,24.746304187371035,0.4691741176470588,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d0091f-f2c2d2ae.jpg,True,False,False,False,False,overcast,highway,daytime
False,False,121.4391001088671,10.024204483094833,0.416125294117647,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d0a191-06deb55d.jpg,False,False,False,False,False,snowy,city street,daytime
False,False,122.59989270000526,23.98151908140916,0.4497190196078431,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d0a191-28f0e779.jpg,True,False,True,True,True,snowy,city street,daytime
False,False,119.03243543333434,15.755826830846216,0.4264911764705882,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d0a191-2ed2269e.jpg,False,False,False,False,False,snowy,city street,daytime
False,False,108.03671683217968,15.818141454256075,0.4483201960784314,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d0a191-5490450b.jpg,False,False,False,False,False,snowy,residential,daytime
False,False,126.41329717950347,12.071959901987816,0.427183137254902,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d0a191-65deaeef.jpg,False,False,False,False,False,snowy,city street,daytime
False,False,122.28693991292477,14.975447981360157,0.4378392156862745,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d0a191-de8948f6.jpg,False,False,False,False,False,snowy,highway,daytime
False,False,126.72836969457296,27.07091248287139,0.4395548333333334,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d10d08-c35503b8.jpg,False,False,False,False,False,clear,city street,daytime
False,False,101.73378285947112,14.05258483283725,0.4633158235294117,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d10d08-da110fcb.jpg,True,False,False,False,False,clear,city street,dawn/dusk
False,False,116.25486675534589,35.477410305985565,0.4123372549019608,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d10d08-ec660956.jpg,False,False,False,False,False,snowy,residential,daytime
True,False,61.390392456183534,4.471729581048471,0.4150135294117647,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d22449-117aa773.jpg,False,False,False,False,True,clear,highway,night
True,True,13.425678160855966,1.152542507926356,0.0928939215686274,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d22449-15fb948f.jpg,True,False,False,False,True,clear,city street,night
True,False,34.01568617148272,2.088442974604585,0.3399142745098048,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d4b62c-89eeb5d3.jpg,True,True,True,True,True,clear,residential,night
False,False,58.22042912623328,5.331238473705991,0.4802507843137255,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d4b62c-d9805029.jpg,True,False,False,False,True,clear,city street,night
False,False,88.22541157014737,15.7001863742694,0.4681521568627452,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d59b1f-a38aec79.jpg,False,False,False,False,False,clear,city street,dawn/dusk
True,False,70.00047727295772,3.267388770148139,0.4465419607843137,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d7b3ac-0bdb47dc.jpg,False,False,False,False,False,clear,city street,dawn/dusk
True,False,84.53568093553797,4.881321959649906,0.4567288235294117,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d7b3ac-2a92e19f.jpg,False,False,False,False,False,clear,residential,dawn/dusk
False,False,143.08357969006525,10.72392461806193,0.4240807843137255,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d7b3ac-36f2d3b7.jpg,True,False,False,False,False,clear,residential,daytime
False,False,126.71226778170168,19.40770448799758,0.4402184313725489,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d7b3ac-995f9d8a.jpg,False,False,False,False,False,clear,residential,daytime
False,False,74.48975119122352,7.099189349023733,0.4404845098039216,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d7b3ac-afa57f22.jpg,False,False,False,False,False,clear,residential,dawn/dusk
False,False,123.6501609960832,37.321799614537866,0.4757978431372549,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d968b9-563405f4.jpg,False,False,False,False,False,overcast,city street,daytime
False,False,114.60487790938312,44.77771327600101,0.427818970588267,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1d971b4-ac67ca0d.jpg,False,False,False,False,False,overcast,residential,daytime
False,False,121.64649606520597,37.99283807151186,0.4509445098039215,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1da9c53-0f3d4c5d.jpg,True,False,False,False,False,snowy,residential,daytime
False,False,113.34262137390084,33.13408579044884,0.4453325490196078,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1dac7f7-6b2e0382.jpg,True,False,False,False,True,clear,city street,daytime
False,False,117.93386646865946,23.52031208832462,0.4492441176470588,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1dce572-c6a8cb5e.jpg,True,False,False,False,False,clear,residential,daytime
False,False,114.86098336204806,19.253044514975084,0.4494664705882353,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1dd58c1-8b546ba7.jpg,True,False,False,False,False,partly cloudy,city street,dawn/dusk
False,False,140.83649011024062,9.460213959974602,0.4341966666666667,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1df722f-57d21f3f.jpg,True,False,True,True,True,clear,highway,daytime
False,False,137.17795713346774,12.255882832827066,0.4586527450980392,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1df722f-5bcc3db7.jpg,True,False,True,True,True,clear,highway,daytime
False,False,98.03176711292032,19.1501656170008,0.4917590196078431,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1e0c01d-dd9e6e2f.jpg,False,False,False,False,False,overcast,city street,daytime
False,False,88.02911480269799,11.998331273578993,0.4816609803921569,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1e1a7b8-0aec80e8.jpg,False,False,False,False,False,rainy,city street,dawn/dusk
True,False,72.01810987003242,3.090448142804568,0.3039636372549025,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1e2346e-c5f98707.jpg,True,False,False,False,False,clear,highway,night
False,False,95.4173949054626,13.714067600971234,0.4133380392156863,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1e3e9f5-92377424.jpg,False,False,False,False,False,clear,residential,daytime
False,False,56.56271772265901,9.612895910660914,0.4683333333333333,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1e62c91-eca210a9.jpg,False,False,False,False,False,clear,residential,night
False,False,104.18378696157572,12.942650974663398,0.4755076470588236,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1e6efc0-2552cc5d.jpg,True,False,False,False,False,snowy,highway,daytime
False,False,74.69844230643366,6.511923296226398,0.4132335294117647,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1e8ad72-c3c79240.jpg,False,False,False,False,False,clear,highway,daytime
False,False,101.7960717047886,10.087285641673702,0.4236835294117647,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1ea0ae4-4f770228.jpg,True,True,True,False,True,partly cloudy,highway,daytime
True,False,103.91420309934745,4.151029570583448,0.4774680392156863,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1eb9133-5cc75c18.jpg,False,False,False,False,False,overcast,highway,dawn/dusk
False,False,53.95409445349366,10.773964788686918,0.4721511764705882,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1ebfc3c-cc9c2bb8.jpg,False,False,False,False,False,clear,city street,night
True,True,14.47147193653445,2.40659484753353,0.1272835882352957,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1ee702d-4a193906.jpg,True,True,True,True,True,clear,city street,night
True,True,17.057370467981,2.018501351436161,0.0937272549019607,/storage/datasets/clean/bdd/bdd100k/images/100k/val/b1ee702d-525fcebf.jpg,False,False,True,True,True,clear,city street,night
